weight_size_before_noise_encryption,weight_size_after_noise_encryption,weight_size_decryption
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
4360784,4360784,40
