acc_score,loss_score
46.7,1.941987726305576
79.0,1.1590160056741852
84.6,0.5725947413766225
89.1,0.3840187863725146
91.0,0.2788027342846052
93.0,0.20176393662868194
93.7,0.17395027535136606
94.2,0.1367112900137283
94.7,0.11032725793209348
95.6,0.0912142609398076
96.5,0.0782718728512359
96.7,0.05681124770623508
97.1,0.05388092630321675
96.7,0.05058831742111742
97.3,0.04511524138887968
97.4,0.03392286138883388
97.8,0.03114049604645476
97.9,0.03618205289510156
98.3,0.01452386799958625
98.6,0.0358657222624398
