acc_score,loss_score
36.412,1.6015835810858472
54.274,1.2022313544692689
62.938,0.9543168166648893
68.996,0.7602837036044419
73.058,0.6060735369513229
75.908,0.4872119440964585
78.534,0.40391955715648936
80.46,0.3413469559304889
82.672,0.2967728722841373
84.05,0.263469631645268
85.568,0.23459144064663837
86.558,0.2125733909263796
88.042,0.19315662635215514
88.94,0.18474261612982062
89.756,0.16529873180338586
90.794,0.15590555161656372
91.364,0.145999372183694
92.0,0.13668372106217333
92.55,0.12157928067291439
92.994,0.11677064300664894
