acc_score,loss_score
40.9,2.1225694581360957
72.5,1.775487746534302
78.4,1.0467962278400562
83.4,0.579823082765567
88.5,0.3622512384097416
90.6,0.23898694765687944
90.7,0.19444224536460913
93.1,0.1615594414468106
93.5,0.12749378395157512
94.0,0.10934598956687669
95.1,0.09459806586058903
95.1,0.09072523309250138
95.8,0.13613261256265513
95.9,0.05259503965337845
96.2,0.05271738022085978
96.8,0.047253043605032324
96.9,0.038411988923439784
97.4,0.036000966121114905
97.4,0.03858575899606344
97.5,0.030434444648465946
