acc_score,loss_score
33.826,1.5396841026869692
51.362,1.1387215539531759
61.474,0.876736121576894
68.44,0.6887027142396276
72.406,0.5433164152088854
75.948,0.43713246493830116
78.3,0.3624744291105993
80.312,0.30557978541772224
82.594,0.26678633562828075
83.896,0.23622275663858544
85.168,0.21230169313834776
86.206,0.1896565953945877
87.498,0.17728568632914404
88.816,0.1612757523450693
89.358,0.14799215575380217
90.508,0.13913802839648476
91.156,0.1331593712086035
91.97,0.12174878328625986
92.544,0.11215918006756272
93.186,0.10471688713019586
