pow_memory,route_memory,noise_memory,key_gen_memory,encryption_memory,decryption_memory,aggregation_memory,update_memory
159744,245760,65536,189112320,1007293098.6666666,2080768,167697749.33333334,0
98304,143360,0,104230912,195925.33333333334,897024,10922.666666666666,0
40960,176128,0,720896,-387754.6666666667,-2469888,167641088,0
24576,184320,0,217088,-277845.3333333333,-233472,62122.666666666664,0
24576,139264,0,233472,-316757.3333333333,-339968,52565.333333333336,0
24576,176128,0,233472,-75093.33333333333,106496,17749.333333333332,0
24576,139264,0,237568,-387072,-352256,-86016,0
45056,184320,0,237568,-238250.66666666666,-458752,-18432,0
65536,184320,0,237568,-420522.6666666667,-704512,0,0
24576,225280,0,233472,-67584,-2928640,34816,0
24576,163840,0,233472,-6144,-2158592,-36864,0
24576,135168,0,229376,-206165.33333333334,-1769472,-26624,0
28672,147456,0,221184,-508586.6666666667,-3575808,-66218.66666666667,0
40960,139264,0,221184,25258.666666666668,-438272,98304,0
45056,122880,0,237568,10240,-2699264,-125610.66666666667,0
61440,180224,0,225280,-336554.6666666667,-3207168,-18432,0
24576,184320,0,221184,-87381.33333333333,-2822144,49152,0
24576,139264,0,237568,-150869.33333333334,-2826240,126976,0
24576,188416,0,233472,-152917.33333333334,-684032,6144,0
40960,143360,0,225280,-180224,-1548288,30720,0
